GEOID,community
17097861504,Park City
17097864409,Lake Zurich
17097860103,Winthrop Harbor
17097861403,Round Lake
17097864802,Riverwoods
17097861008,Lindenhurst
17097861107,Grayslake
17097861201,Round Lake Park
17097863601,Green Oaks
17097864411,Deer Park
17097864518,Buffalo Grove
17097863100,North Chicago
17097861404,Round Lake Park
17097861510,Gurnee
17097861608,Gurnee
17097861901,Beach Park
17097865501,Highland Park
17097863902,Vernon Hills
17097861506,Gurnee
17097864514,Vernon Hills
17097861505,Gurnee
17097860811,Antioch
17097860903,Fox Lake
17097861507,Gurnee
17097860807,Fox Lake
17097860806,Antioch
17097866000,Old Mill Creek
17097864108,Mundelein
17097862604,Park City
17097864106,Mundelein
17097864305,Lake Barrington
17097864105,Mundelein
17097863603,Mundelein
17097861012,Lake Villa
17097864307,Barrington Hills
17097863702,Green Oaks
17097860906,Round Lake
17097863500,Lake Forest
17097864903,Deerfield
17097990000,NA
17111871107,Algonquin
17111871003,Marengo
17111871305,Cary
17111871207,Lake in the Hills
17111871109,Lake in the Hills
17111871202,Crystal Lake
17111871208,Crystal Lake
17111871404,Algonquin
17111870301,Harvard
17111871106,Lakewood
17111871205,Lake in the Hills
17111870102,Spring Grove
17111870811,Holiday Hills
17111870703,Johnsburg
17111870603,Johnsburg
17111870803,Bull Valley
17111870903,Bull Valley
17111871201,Crystal Lake
17111871600,Cary
17111871105,Crystal Lake
17111870812,Island Lake
17111871306,Crystal Lake
17111871206,Algonquin
17111871301,Crystal Lake
17111870905,NA
17111871500,Huntley
17111870606,NA
17111871310,Algonquin
17111871311,Algonquin
17111871004,Marengo
17111870401,Wonder Lake
17111871104,Huntley
17111870809,Prairie Grove
17111870604,Johnsburg
17111870402,Bull Valley
17111870302,Harvard
17111870704,Johnsburg
17111870904,NA
17111871108,Lake in the Hills
17111870807,Crystal Lake
17111870702,Lakemoor
17111871304,Cary
17111870500,Wonder Lake
17111870808,Crystal Lake
17111871209,Lake in the Hills
17111870810,Prairie Grove
17111870605,NA
17111870200,Harvard
17111871402,Barrington Hills
17111870902,Crystal Lake
17111870101,Hebron
17111871307,Cary
17197883209,NA
